root	deva	gana	voice	voice_attested	aupadeshika_guess	artha_guess	mw_meaning	attested	note	mw_id
beh	बेह्	1	P. Ā.		beha~^	karaRe	to strive, make effort	vehati|vehAya		206538.1
beS	बेश्	1	P.	P.	beSa~	gatO	to go (= √ , )	beSati|pis|pes		146448
Bfkz	भृक्ष्	1	P. Ā.	P.	Bfkza~^	BakzaRe	P. or , , to eat, (v.l. for ).	Bfkzati|Brakzati|°te|Bakz	voice cp=P. Ā. vs attested=P.	152549
bfMh	बृंह्	1	P.	P.	bfMha~	vfdDO	to be thick, grow great or strong, increase (the finite verb only with a prep.)	bfMhayati|°te|vf°|barhayati|sam-√ bfh		146037.1
bfMh	बृंह्	1	P. Ā.		bfMha~^	Sabde	to roar, bellow, trumpet (said of an elephant), ; &c.			146435.1
BfMS	भृंश्	1		P.	BfMSa~	BAzAyAm	to speak or to shine	BfMSati|°Sayati		152547
BI	भी	1	Ā.	P. Ā.	BI\	Baye	to fear, be afraid of (abl. or gen., rarely instr. or acc.), &c. &c.	BIyate|aBAyi|BIzayate|BIzayati|Biz°	voice cp=Ā. vs attested=P. Ā.	150969
bIB	बीभ्	1	Ā.	Ā.	bIBa~\		to boast, ( ).	bIBate|cIB		145517
bind	बिन्द्	1	P.	P.	binda~	Cedane	(cf. ) cl. 1. P. , to cleave, split, (perhaps invented on account of the followi	Bid|bindati		145129.1
biS	बिश्	1	P.	P.	biSa~	gatO	to go, (= √ , q.v.)	beSati|pis		145348
brahm	ब्रह्म्	1	P.	P.	brahma~	gatO	to go, move	brahmati		146545
BraS	भ्रश्	1	P. Ā.	P. Ā.	BraSi~^	patane	to fall, drop, fall down or out or in pieces, &c. &c.	BraMSayati|BrASayati|BrASya|ni-√ BraMS|abaBraMSat	attested has nasal → i~ (idit)	153448.1
BrAs	भ्रास्	1		P. Ā.	BrAsa~^	dIptO	to shine, glitter	BrASayati|abaBrASat|abiBraSat|biBrASizate|bABrASyate		153761.1
bud	बुद्	1	P. Ā.	P.	buda~^	jYAne	P. , , to perceive, learn, (cf. and )	bodati|°te|bund|buD	voice cp=P. Ā. vs attested=P.	145558
buNg	बुङ्ग्	1	P.	P.	buNga~	varjane	to forsake, abandon	buNgati		145554
BuRq	भुण्ड्	1	Ā.		BuRqa~\		to support	huRq		151430
buw	बुट्	1		P.	buwa~	hiMsAyAm	to hurt, kill, ()	bowati|bowayati		145555
Cad	छद्	1		P.	Cada~	saMvaraRe	to cover, (v.l.)	CAdayati|Cad°|Cand°|CAdayAM cakre|°yAna		75390
Cad	छद्	1	Ā.	P.	Cadi~\		to seem, appear, be considered as	Candayati|vareRa	attested has nasal → i~ (idit); voice cp=Ā. vs attested=P.	75556
Cad	छद्	1			Cada~	pAlane	to nourish			75683
cakAs	चकास्	1	Ā.	P.	cakAsa~\	dIptO	to shine, be bright	cakAsayati|acacakAsat|acIc°	voice cp=Ā. vs attested=P.	70306
camb	चम्ब्	1			camba~	gatO	to go	°bati		72168
cand	चन्द्	1			canda~	dIptO	to shine, be bright			71529
Cand	छन्द्	1	Ā.	P.	Canda~\		to seem, appear, be considered as	Candayati|vareRa	voice cp=Ā. vs attested=P.	75556.1
carG	चर्घ्	1			carGa~	gatO	to go	°Gati		72400
caRq	चण्ड्	1			caRqa~		(derived fr. ) cl. 1. 10. Ā. , , to be angry or wrathful	caRqa|°Rqate|°Rqayate		70904
Cfd	छृद्	1	Ā.	P.	Cfda~\		to vomit	Cfntte|Cardati|°rpati|Cardayati|°rpay°	voice cp=Ā. vs attested=P.	76102
cfp	चृप्	1			cfpa~		v.l. for √	Cfd		74889
Cfp	छृप्	1			Cfpa~		v.l. for √ , q.v.	Cfd		76123
cft	चृत्	1		P.	cfta~	banDane	to tie	cartati|Cfd|cartayati|cicftsati|°cartizati		74888
ci	चि	1			ci		to detest, hate (), and			73366
cIb	चीब्	1		P.	cIba~	darSane	See √ .	cIv|cIvara|cIvayati		74452
cIk	चीक्	1			cIka~		(=√ ) cl. 1. 10. to endure (√ vv.ll. and )	sIk|mfz|A-√ mfz|-√ mfS		74413
cint	चिन्त्	1			cinta~	cintAyAm	to think, have a thought or idea, reflect, consider, ; &c.	prati		74105
cud	चुद्	1	Ā.	P.	cuda~\	preraRe	to impel, incite, animate	codayati|°te|°yAsi|°yAse|acUcudat	voice cp=Ā. vs attested=P.	74573
culump	चुलुम्प्	1			culumpa~		(pf. ,, Vārtt.,) = √ , or	°pati|°pAM cakAra|lul|lup		74694
cumb	चुम्ब्	1	Ā.	P.	cumba~\		to kiss, ; &c.	cumbayati	voice cp=Ā. vs attested=P.	74627
cur	चुर्	1		P.	cura~	steye	to steal, ; &c.	cUrayAmi		74646
cuRq	चुण्ड्	1		P.	cuRqa~	Cedane	(and , ), cl. 6. 10. (), (, ), to split, cut off, : cl. 1. (, ), to become small	cuRw|cuRq|cuwati|cuRw°|cowayati		74558.02
cuRw	चुण्ट्	1		P.	cuRwa~	Cedane	(and , ), cl. 6. 10. (), (, ), to split, cut off, : cl. 1. (, ), to become small	cuRw|cuRq|cuwati|cuRw°|cowayati		74558.01
DA	धा	1	P. Ā.	P. Ā.	DA^		rarely cl. 1. Ā. P.	daDati|°te|DAti|DAyeta|daDO		100607
daB	दभ्	1		P. Ā.	daBi~^	hiMsAyAm	to hurt, injure, destroy	dameBayat|°yas|°ya|damBayati|dAB°	attested has nasal → i~ (idit)	90227
Dam	धम्	1	P. Ā.	P. Ā.	Dama~^		to blow (either intrans. as wind or trans. as, to blow a conch-shell or any wind	Damyate|°ti|DmAyate|°ti|DmApayati		99700
damB	दम्भ्	1		P. Ā.	damBa~^	hiMsAyAm	to hurt, injure, destroy	damBayat|°yas|°ya|damBayati|dAB°		90227.1
daMs	दंस्	1	P.		daMsa~		and cl. 10. Ā. (fr. Prākṛt daṃse) to show, 2 f.			89230.1
daMs	दंस्	1	P.		daMsa~	Bedane	to destroy (?)	daMS		89296
daNG	दङ्घ्	1			daNGa~		to keep off (derived fr. )	daG		89568
danv	दन्व्	1	P.		danva~	gatO	to go			90226
Danv	धन्व्	1	P. Ā.		Danva~^	kzaraRe	to run or flow	Dan|Dav|DAv		99639
das	दस्	1			dasa~		to suffer want, become exhausted, ()	upa-√ kzip|°saye|°sayanta|apa-|upa-		91129
dAy	दाय्	1	Ā.	Ā.	dAya~\	dAne	() to give.	dAyate		91644
dfB	दृभ्	1		P.	dfBa~	Baye	and , to fear, be afraid	darBati|darBayati		95254
dfMh	दृंह्	1	P. Ā.	P. Ā.	dfMha~^	karaRe	to make firm, fix, strengthen, ; ; &c. (p. , )	°te|dfMheTe|dfMhAmahE|dfhya|°hyasva		95068
DfYj	धृञ्ज्	1	P.	P.	DfYja~	gatO	to go, move, (cf. √ , ).	Darjati|DfYjati|Draj|Drij		101932.1
Dfz	धृष्	1	P.	P. Ā.	Dfza~		; (p. , , ; , ; perf. , &c. &c.; 3. pl. , ; Subj. , , , ; , , ; p. , ; aor. , , 	Darzati|Dfzat|°zamARa|°zARa|daDarza	voice cp=P. vs attested=P. Ā.	101933
DIkz	धीक्ष्	1	Ā.	Ā.	DIkza~\		(Desid. of √ ) cl. 1. Ā. , to wish to anoint	dih|Dikzate		101320
dinv	दिन्व्	1	P.	P.	dinva~		to gladden	dinvati		92215
dip	दिप्	1	Ā.	Ā.	dipa~\		(v.l. ).	depate|tip		92216
DrA	ध्रा	1	P.	P.	DrA	gatO	or , &c. to go	DrAti|Drati|Drayati		102267
DrAj	ध्राज्	1	P. Ā.	P.	DrAja~^	gatO	(;, &c.) , ( or Gr.; p. Ā. ,; aor. Pot. Ā. ,) to move, go, glide, fly, sweep on.	Drajati|DraYjati|DfYjati|DrAjamAna|DrAjizIya	voice cp=P. Ā. vs attested=P.	102255.2
drANkz	द्राङ्क्ष्	1	P.		drANkza~	BAzAyAm	to utter a discordant sound, croak or caw	DrANkz		97785
DraYj	ध्रञ्ज्	1	P. Ā.	P.	DraYja~^	gatO	(;, &c.) , ( or Gr.; p. Ā. ,; aor. Pot. Ā. ,) to move, go, glide, fly, sweep on.	Drajati|DraYjati|DfYjati|DrAjamAna|DrAjizIya	voice cp=P. Ā. vs attested=P.	102255.1
Drij	ध्रिज्	1	P.		Drija~	gatO	to go, move, ()	Draj|Dfj		102278
drumm	द्रुम्म्	1	P.	P.	drumma~	gatO	to go	drummati		97950
druq	द्रुड्	1		P.	druqa~	kzaye	and , to sink, perish, (v.l.).	droqati|druqati		97945
drUq	द्रूड्	1		P.	drUqa~	gatO	(), to go	drUqati|°Lati		97991
dU	दू	1	P.	P.	dU	gatO	to go	dAvayati|davayati|davizARi|na d° eBih		93281.1
DU	धू	1	P.	P. Ā.	DU		&c. &c.	Dunoti|°nute|Duvati|ni-|DUvet	voice cp=P. vs attested=P. Ā.	101481
duD	दुध्	1	P.		duDa~	hiMsAyAm	to be angry, hurt, injure	doDat		93568
DUrv	धूर्व्	1	P.	P.	DUrva~	hiMsAyAm	() cl. 1. P. ,;; (aor. ,; inf. ,; pf. ; fut. , Gr.) to bend, cause to fall, hurt	DUrvati|aDUrvIt|DUrvitum|duDUrva|DUrvizyati		101761
DvANkz	ध्वाङ्क्ष्	1	P.		DvANkza~	BAzAyAm	to utter the cry of birds, to caw, croak, &c.	DmANkz|DrANkz		102567
DvaYj	ध्वञ्ज्	1	P.	P.	DvaYja~	gatO	to go, move,; (prob. Nom. fr. next).	Dvajati|DvaYjati		102415.1
DvraR	ध्व्रण्	1	P.	P.	DvraRa~	Sabde	to sound, (v.r. for ).	DvraRati|DraR		102616
fYj	ऋञ्ज्	1	Ā.	Ā.	fYja~\		&c., to fry	fYjate|fYjAM-cakre|fYjitA		38847
fz	ऋष्	1	P.		fza~	gatO	to flow, flow quickly, glide, move with a quick motion			39001
gamb	गम्ब्	1	P.		gamba~	gatO	to go or move	°bati		63674
Gamb	घम्ब्	1	Ā.		Gamba~\	gatO	to go, move, () (cf. √ .)	°bate|Garb		69591
GaMz	घंष्	1	Ā.		GaMza~\		to diffuse lustre or splendour			69215
gaRq	गण्ड्	1	P.		gaRqa~		(derived fr. ) cl. 1. P. , ‘to affect the cheek’, (cf. .)	gaRqa|°qati|gaRqA		62749
GaRw	घण्ट्	1			GaRwa~	BAzAyAm	and , ‘to speak’ or ‘to shine’	°wati|°wayati		69363
gavez	गवेष्	1	Ā.		gaveza~\		to seek, search or inquire for (acc.),; : cl. 10. , id.,,;;	°zate|°zayati|°te|gav		64327
gaYj	गञ्ज्	1	P.		gaYja~	Sabde	to sound, give out a particular sound	°jati		62459
GfRR	घृण्ण्	1	Ā.		GfRRa~\		= √	°RRate|GiRR		70104
gfYj	गृञ्ज्	1		P.	gfYja~	Sabde	(= √ ) cl. 1. (See √ ) or , to sound, roar	garj|garjati|garj|gfYjati		66413.1
GiRR	घिण्ण्	1	Ā.		GiRRa~\	grahaRe	(fr. Prākṛt ṇh, giṇh = ) cl. 1. Ā. , to take, grasp, (cf. √ , .)	√ ge|grah|°RRate|GuRR|GfRR		69778
granT	ग्रन्थ्	1	P. Ā.	P. Ā.	granTa~^	banDane	to fasten, tie or string together, arrange, connect in a regular series	graTati|°te|granTati|granTate|agranTizwa		68437.1
granT	ग्रन्थ्	1	Ā.	Ā.	granTa~\	kOwilye	or , to be crooked (lit. and fig.)	graTate|granT°		68541.1
guD	गुध्	1	Ā.	Ā.	guDa~\	saMvaraRe	to wrap up, envelop, cover, clothe (cf. √ ), : cl. 9. P. , to be angry, : cl. 1.	guRW|°DnAti|goDate|gUrd|gud		65883
gUrd	गूर्द्	1		P.	gUrda~		to play, sport, jump	gurdayati|gUrd°|gurd|°dati		66184.1
GuRR	घुण्ण्	1	Ā.		GuRRa~\		= √	°RRate|GiRR		69812
GUrR	घूर्ण्	1	P. Ā.		GUrRa~^	gatO	to move to and fro, shake, be agitated, roll about	°rRayati|GUrRyamAna		69925
guYj	गुञ्ज्	1	P.		guYja~		(= √ ) cl. 1. P. (pr. p. ; perf. ,), to buzz, hum,;; &c. (cf. .)	guj|°jati|°jat|juguYja|sam-ud-√ guYj		65392
hA	हा	1		P. Ā.	hA^	varjane	to leave, abandon, desert, quit, forsake, relinquish (with , , , , &c. - ‘to die	SarIram|deham|prARAn|asUn|jIvitam		262507
han	हन्	1		Ā.	hana~\	hiMsAyAm	to strike, beat (also a drum), pound, hammer (acc.), strike &c. upon (loc.), &c.	hanyate|°ti|avaDi|aGAni|GAtayati		260297
heL	हेल्	1	P. Ā.	P.	heLa~^	karaRe	to be or make angry or hostile (, ; only occurring in , , and , qq.vv.)	anAdare|heqamAna|helamAna|helayati|°te	voice cp=P. Ā. vs attested=P.	263977.1
hew	हेट्	1	P. Ā.	P.	hewa~^		to be wicked	heWRAti|heQ|heWayati|vi-√ heW	voice cp=P. Ā. vs attested=P.	263975.1
hiMs	हिंस्	1		P. Ā.	hiMsa~^	hiMsAyAm	to injure, harm, wound, kill, destroy, &c. &c.	hiMsyate|ahiMsi|a-hiMsyamAna|hiMsayati|ajihiMsat		262731
hiRq	हिण्ड्	1	Ā.		hiRqa~\	gatO	to go, move, wander or roam about			262850
hrep	ह्रेप्	1	Ā.	P. Ā.	hrepa~\	gatO	to go, (v.l.) See √ .	hrepate|hrepayati|hrI	voice cp=Ā. vs attested=P. Ā.	264814
hrOq	ह्रौड्	1	P.	P.	hrOqa~	gatO	(cf. √ , ) cl. 1. P. , to go, (v.l.)	hruq|hrUq|hrOqati		264821
hruq	ह्रुड्	1	P. Ā.	P.	hruqa~^	gatO	or (accord. to some also Ā. ), to go, (v.l.)	hroqati|hrUqati|°te	voice cp=P. Ā. vs attested=P.	264809
hrUq	ह्रूड्	1	P. Ā.	P.	hrUqa~^	gatO	or (accord. to some also Ā. ), to go, (v.l.)	hroqati|hrUqati|°te	voice cp=P. Ā. vs attested=P.	264809.1
hUrC	हूर्छ्	1	P.	P.	hUrCa~	gatO	to go crookedly, creep stealthily, totter, fall	hUrCayati|hurC		263569.1
huRq	हुण्ड्	1	Ā.		huRqa~\		to , Sch., also ), to collect, accumulate	BuRq		263529
hvF	ह्वॄ	1	P. Ā.	P. Ā.	hvF^		to also ; pf. , , Gr.; aor. , , , , ; ; ; Prec. Gr.; fut. , , ; inf. , )	hvArayati|jihvaraH|°ratam|juhuraH|juhUrTAH		264863.1
ind	इन्द्	1	P.		inda~		to be powerful	und|indra		28845
iNg	इङ्ग्	1	P. Ā.	P.	iNga~^	gatO	to go, go to or towards	iNgayati|iNgya	voice cp=P. Ā. vs attested=P.	28638
iNK	इङ्ख्	1	P.	P.	iNKa~	gatO	to go, move, and;	iNKati|iNKAM-cakAra|iNKizyati|iNKitum|INKayati		28637
INK	ईङ्ख्	1	P.	P.	INKa~	gatO	to go, move	INKayati		29714
Int	ईन्त्	1	P.	P.	Inta~	banDane	to bind , on	Intati|Intitum		29747
IYj	ईञ्ज्	1	P.		IYja~	gatO	to go	apej|sam-Ij		29717.1
iz	इष्	1	P. Ā.		iza~^		to seek, search, : cl. 4. P. and 9. Ā. P.			29439
jAgf	जागृ	1	Ā.	P.	jAgf\		to be awake or watchful, ; &c.	aDi|ajIgar|jigftam|°ta|jAgarayati	voice cp=Ā. vs attested=P.	78427
jamB	जम्भ्	1		P. Ā.	jamBa~^		to snap at (gen.)	jamBayati|°yat|jaYjaByate|°BIti|ByamAna		77183.05
jamB	जम्भ्	1	Ā.	P. Ā.	jamBa~\	jYAne	or Ā. () (aor. ), v.l. for √ () to know carnally, (inf. v.l. ).	jaBati|jamB°|jaBate|ajamBizwa|yaB	voice cp=Ā. vs attested=P. Ā.	77248.1
jaMs	जंस्	1			jaMsa~	rakzaRe	to protect			76176
jan	जन्	1	Ā.	P. Ā.	jana~\		to generate, beget, produce, create, cause, ; &c.	jAyate|°ti|ajAyata|jayamAna|janizyate	voice cp=Ā. vs attested=P. Ā.	76735
jaNkz	जङ्क्ष्	1	P.		jaNkza~		v.l. for √ .	kzaj		76462
JaR	झण्	1			JaRa~	Sabde	to sound	°Rati		80982
jarc	जर्च्	1			jarca~	BAzAyAm	to speak			77741
jarC	जर्छ्	1			jarCa~		v.l. for √ .	jarc		77742
Jarc	झर्च्	1			Jarca~		to blame (fr. √ ?), and (v.l.)			81017
JarC	झर्छ्	1			JarCa~		to blame (fr. √ ?), and (v.l.)			81017.1
jarJ	जर्झ्	1			jarJa~		v.l. for √ .	jarc		77746
jarts	जर्त्स्	1			jartsa~	rakzaRe	to protect			77754
jas	जस्	1	P. Ā.	P.	jasa~^		to be exhausted or starved	jasati|jAsayati|ajIjasata|jajastam|uj-	voice cp=P. Ā. vs attested=P.	78362
jaYj	जञ्ज्	1	P.		jaYja~		p. f. , glittering, flashing (; = , )	jaYjatI|aBiBavantI		76514
jF	जॄ	1	P. Ā.	P.	jF^	karaRe	to make old or decrepit	jf|jIryati|°te|jIryat|°yamARa	voice cp=P. Ā. vs attested=P.	80153
jF	जॄ	1	Ā.		jF\		to crackle (as fire)			80154
jfmB	जृम्भ्	1	P. Ā.	Ā.	jfmBa~^		to open the mouth, yawn, ; &c.	jfmBayAm Asa|jarIjfmBate	voice cp=P. Ā. vs attested=Ā.	80122
jinv	जिन्व्	1	P. Ā.	P.	jinva~^	gatO	to move one's self, be active or lively ()	jinvayati|juYc|A-|pra-|upa-pra-	voice cp=P. Ā. vs attested=P.	79399
jrI	ज्री	1		P.	jrI	vfdDO	to grow old, (v.l.)	jrayati|jriRAti|jrAyayati		80856.1
jU	जू	1	P. Ā.	P.	jU^		to press forwards, hurry on, be quick	ajIjavat|jijavayizati|pra-	voice cp=P. Ā. vs attested=P.	80068
Ju	झु	1	Ā.		Ju\		v.l. for √ .	jyu		81139
juNg	जुङ्ग्	1			juNga~		to exclude	yuNg		79988
jUrv	जूर्व्	1	P.		jUrva~	BakzaRe	to consume by heat, singe, ()	ni-|saM-		80115
juYc	जुञ्च्	1			juYca~	BAzAyAm	to speak			79993
juz	जुष्	1	P. Ā.		juza~^		to be pleased or satisfied or favourable, ; &c.	tanvAm|°vas|jozayAse		80017
JUz	झूष्	1	P.		JUza~		v.l. for √ .	yUz		81146
jyo	ज्यो	1	Ā.	Ā.	jyo\		to order, cause any one to observe a vow, ().	jyavate		80838
Jyu	झ्यु	1	Ā.		Jyu\		v.l. for √ .	jyu		81151
Kac	खच्	1	P.	P.	Kaca~	gatO	to come forth, project (as teeth)	KacYAti|Kacayati		60863
kaj	कज्	1	P.		kaja~		to be happy			41817
Kall	खल्ल्	1	Ā.	Ā.	Kalla~\	viloqane	(= √ ) cl. 1. Ā. , to shake, be loose	Kal|Kallate		61663
kamb	कम्ब्	1	P.		kamba~	gatO	to go, move	karb		43959
Kamb	खम्ब्	1	P.		Kamba~	gatO	to go or move, (v.l.)	°bati		61339
kamp	कम्प्	1	P. Ā.	P. Ā.	kampa~^	viloqane	to tremble, shake, ; ; &c.	kampayati|-te|cikampizate|caMkampyate|caMkampti		43913
kAMs	कांस्	1	Ā.	Ā.	kAMsa~\	dIptO	to shine, glitter, (v.l. for ).	kAMsate|kAS		46911
kand	कन्द्	1	P. Ā.	P. Ā.	kanda~^	BAzAyAm	to cry, utter lamentations: Ā. , to be confounded, confound, (cf. , .)	kandati|cakanda|kandate|kad|krand		43192
kaNk	कङ्क्	1	Ā.	Ā.	kaNka~\	gatO	&c., to go,;	kaNkate|cakaNke|kaNkitA		41602
kANkz	काङ्क्ष्	1	P. Ā.	P. Ā.	kANkza~^	prayatne	to wish, desire, long for, hope for (with acc.), expect, wait for, await (with a	kANkzayati|acakANkzat|cikANkzizati|cAkANkzyate|cAkAMzwi		47271
kaRq	कण्ड्	1	P. Ā.	P.	kaRqa~^	viBAge	P. , , to be glad or wanton: cl. 10. P. , to separate (the chaff from the grain)	kaRqati|-te|kaRqayati|kaq	voice cp=P. Ā. vs attested=P.	42560
KaRq	खण्ड्	1	Ā.		KaRqa~\	Cedane	to break, divide, destroy, : cl. 10. P. , to break, tear, break into pieces, cru	KaRqita		61072
kaRw	कण्ट्	1	P.	P.	kaRwa~	gatO	to go, move, (cf. .)	kaRwati|kaw		42355
kaRW	कण्ठ्	1	P. Ā.		kaRWa~^		to mourn	ut-kaRWa		42456
kaS	कश्	1	P.		kaSa~	gatO	to go, move Comm. on	kaMs|kas|Jaz|SaS|kaz		46631
kaYc	कञ्च्	1	Ā.		kaYca~\	banDane	to bind			41835
kAYc	काञ्च्	1	Ā.		kAYca~\	dIptO	to shine	kac|kaYc		47345
KaYj	खञ्ज्	1	P.		KaYja~		to limp, walk lame			60884
kf	कृ	1	P. Ā.	P. Ā.	kf^	karaRe	to do, make, perform, accomplish, cause, effect, prepare, undertake, &c.	varzARi daSa cakruH|kzaRaM kuru|kftakzaRa|arDaM-√ kf|arDa		54148
kft	कृत्	1	P.	P.	kfta~	Cedane	to cut, cut in pieces, cut off, divide, tear asunder, destroy, ; ; ; &c.	kartayati|cikartizati|cikftsati		54777
klam	क्लम्	1		P.	klama~		to be or become fatigued, be weary or exhausted, , , , and	klAmayati		58545
kland	क्लन्द्	1	P. Ā.	Ā.	klanda~^		to call	klandate|kladate|klad	voice cp=P. Ā. vs attested=Ā.	58542
klav	क्लव्	1	Ā.	Ā.	klava~\	Baye	to fear, be afraid, ()	klavate		58562
klind	क्लिन्द्	1	P. Ā.	P.	klinda~^		P. , , to lament,; (cf. √ .)	klindati|°te|kland	voice cp=P. Ā. vs attested=P.	58598
knaMs	क्नंस्	1			knaMsa~		(cf. √ , , , .)	°sati|°sayati|kuMS|kuMs|knas		57601
Koq	खोड्	1	P.		Koqa~		= √ , q.v., : cl. 10. P. = √ , q.v.	°qati|Kor|kzow		62089
Kow	खोट्	1	P.		Kowa~		= √ , : cl. 10. P. v.l. for √ , q.v.	°wati|Kor|kzow		62084
kraMS	क्रंश्	1	P.		kraMSa~		(?) , to illuminate, (cf. √ , .)	°Sati|knaMs|knas		57618
krand	क्रन्द्	1	P. Ā.	P.	kranda~^	Sabde	to neigh (as a horse), roar (metaphorically applied to the clouds and to wind an	cakranda|krandayati|acikradat|°dan|kanikrantti	voice cp=P. Ā. vs attested=P.	57730
kU	कू	1	P. Ā.	Ā.	kU^	gatO	to sound, make any noise, cry out, moan, cry (as a bird), coo, hum (as a bee) &c	kavate|kokUyate|kokavIti|cokUyate	voice cp=P. Ā. vs attested=Ā.	53778
kuMs	कुंस्	1		P.	kuMsa~	BAzAyAm	or cl. 10. P. , or , , ‘to speak’ or ‘to shine’, and	kuMSati|°Sayati|kuMsati|°sayati|kuMS		51270.1
kuMS	कुंश्	1		P.	kuMSa~	BAzAyAm	or cl. 10. P. , or , , ‘to speak’ or ‘to shine’, and	kuMSati|°Sayati|kuMsati|°sayati		51270
kunT	कुन्थ्	1			kunTa~	hiMsAyAm	to hurt, injure	kuTnAti		52143
kUR	कूण्	1	P. Ā.	P.	kURa~^		to contract, shrink, shorten	kURayati|°te	voice cp=P. Ā. vs attested=P.	53919
kUrd	कूर्द्	1	P. Ā.	P. Ā.	kUrda~^		P. , (perf. ,; aor. ,), to leap, jump,;; : Ā. , to play	kUrdati|°te|cukUrda|akUrdizwa|kUrdate		54039
kuRq	कुण्ड्	1	P. Ā.	P. Ā.	kuRqa~^	dAhe	to mutilate, : cl. 1. Ā. , to burn, : cl. 10. , to protect	kuRqati|kuRqate|kuRqayati		51842
KuRq	खुण्ड्	1	Ā.	P.	KuRqa~\	Bedane	to break in pieces	KuRqayati|Koqayati|kzodayati|kzudra	voice cp=Ā. vs attested=P.	61976
kuRW	कुण्ठ्	1	P.	P.	kuRWa~		to be lame or mutilated or blunted or dulled	kuRWayati|guRW|avakuRWana		51824
kuts	कुत्स्	1	P.	P.	kutsa~	anAdare	(perhaps related to ) cl. 10. P.; rarely cl. 1. P. , and; once cl. 4. P. ,], to 	kutas|kutsayati|°yate|kutsati|kutsyati		52017
kuYj	कुञ्ज्	1	P.	P.	kuYja~		to murmur (= √ )	kuYjati|kUj		51471
kxp	कॢप्	1	P. Ā.	P. Ā.	kxpa~^		to be well ordered or regulated, be well managed, succeed, ; ; &c.	yajYo devezu kalpatAm|kxptavat|kalpayati|°te|acIkxpat		55571
kzad	क्षद्	1	Ā.	Ā.	kzada~\	Cedane	to cut, dissect, divide, kill, and	kzadase|cakzade		58898
kzamp	क्षम्प्	1			kzampa~	DAraRe	to suffer, bear			59133
kzap	क्षप्	1	P. Ā.		kzapa~^	karaRe	to be abstinent, fast, do penance, ; ; ; &c.	kzip		58968
kzaYj	क्षञ्ज्	1	Ā.	P.	kzaYja~\	gatO	to go, approach	kzaYjayati	voice cp=Ā. vs attested=P.	58737.1
kzud	क्षुद्	1	P. Ā.	P.	kzuda~^	hiMsAyAm	to strike against, shake, ()	kzuRatti|kzuntte|akzuRat|akzOtsur|kzotsyati	voice cp=P. Ā. vs attested=P.	59877
kzump	क्षुम्प्	1	P.	P.	kzumpa~	gatO	to go	kzumpati		60155
kzviq	क्ष्विड्	1	P.	P.	kzviqa~	BAzAyAm	to utter an inarticulate sound, hum, murmur, growl, roar, hiss, whistle, rattle	kzveqayati		60633
